last	rest	board	seat_char
Woodring	Rachel	HEARTLAND WORKFORCE SOLUTIONS	
Agarwal	Arun K.	LIBRARY BOARD	president
Bull	Terri	LIBRARY BOARD	secretary
Chittenden	Stuart	LIBRARY BOARD	
Costa	Sergio A.	LIBRARY BOARD	vice president
Fogarty	James	LIBRARY BOARD	
Gray	Freddie Jr.	LIBRARY BOARD	
Isom	Lenora	LIBRARY BOARD	
Meyer	Mike	LIBRARY BOARD	
Hernandez-Valencia	Anna	LIBRARY BOARD	
Gottschalk	John	OMAHA PERFORMING ARTS SOCIETY BOARD	chair
Holland	Richard D.	OMAHA PERFORMING ARTS SOCIETY BOARD	vice chair
Boyer	John K.	OMAHA PERFORMING ARTS SOCIETY BOARD	secretary
Bell	Richard R.	OMAHA PERFORMING ARTS SOCIETY BOARD	
Cassling	Michael S.	OMAHA PERFORMING ARTS SOCIETY BOARD	
Dodge	Meg Lauritzen	OMAHA PERFORMING ARTS SOCIETY BOARD	
Hawks	Rhonda A.	OMAHA PERFORMING ARTS SOCIETY BOARD	
Johnson	Todd L.	OMAHA PERFORMING ARTS SOCIETY BOARD	
Mammel	Carl G.	OMAHA PERFORMING ARTS SOCIETY BOARD	
Scott	Walter Jr.	OMAHA PERFORMING ARTS SOCIETY BOARD	
Slosburg	D. David	OMAHA PERFORMING ARTS SOCIETY BOARD	
Ferguson	Larry	PUBLIC ART COMMISSION	chair
Beery	Donovan	PUBLIC ART COMMISSION	vice chair
Campbell	Karin	PUBLIC ART COMMISSION	
Garcia	Linda	PUBLIC ART COMMISSION	
Konchagulian	Paul	PUBLIC ART COMMISSION	
Miltner	Pat	PUBLIC ART COMMISSION	
Peterson	Anne	PUBLIC ART COMMISSION	
Prouty	John	PUBLIC ART COMMISSION	
Taylor	Jodi	PUBLIC ART COMMISSION	
Burgess	Emily	PUBLIC ART COMMISSION	ex-officio
Slaven	Pat	PUBLIC ART COMMISSION	ex-officio
Hancock	Robert I.	ZONING BOARD OF APPEALS	chair
Mahlendorf	Brian J.	ZONING BOARD OF APPEALS	vice chair
Donovan	Jacque	ZONING BOARD OF APPEALS	
Nash	Jonathan Jr.	ZONING BOARD OF APPEALS	
Anzaldo	Sebastian "Subby"	ZONING BOARD OF APPEALS	
Teutsch	Teri	ZONING BOARD OF APPEALS	alternate
Kelley	Sean	ZONING BOARD OF APPEALS	alternate
Sander	Deb	DOT.COMM OVERSIGHT COMMITTEE 	interim chair
Davis	M. Elizabeth	DOT.COMM OVERSIGHT COMMITTEE 	
Friend	John M.	DOT.COMM OVERSIGHT COMMITTEE 	
Lorenz	Joseph T.	DOT.COMM OVERSIGHT COMMITTEE 	
Hamann	Roland K.	DOT.COMM OVERSIGHT COMMITTEE 	
Herink	Allen	DOT.COMM OVERSIGHT COMMITTEE 	
Young	Brian	DOT.COMM OVERSIGHT COMMITTEE 	community member
Limpach	Nicholas J.	AIR CONDITIONING AND AIR DISTRIBUTION BOARD	
Kusleika	Richard	AIR CONDITIONING AND AIR DISTRIBUTION BOARD	
